"Trimestre","Unidade da Federação","Nível de instrução","Variável","Valor"
"1º trimestre 2015","Paraíba","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1879"
"1º trimestre 2015","Paraíba","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2295"
"1º trimestre 2015","Paraíba","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","5766"
"1º trimestre 2015","Paraíba","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Pernambuco","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2510"
"1º trimestre 2015","Pernambuco","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1092"
"1º trimestre 2015","Pernambuco","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1261"
"1º trimestre 2015","Pernambuco","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1539"
"1º trimestre 2015","Pernambuco","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1444"
"1º trimestre 2015","Pernambuco","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2289"
"1º trimestre 2015","Pernambuco","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2781"
"1º trimestre 2015","Pernambuco","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","6963"
"1º trimestre 2015","Pernambuco","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Alagoas","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2025"
"1º trimestre 2015","Alagoas","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1031"
"1º trimestre 2015","Alagoas","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1266"
"1º trimestre 2015","Alagoas","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1580"
"1º trimestre 2015","Alagoas","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1339"
"1º trimestre 2015","Alagoas","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1982"
"1º trimestre 2015","Alagoas","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2214"
"1º trimestre 2015","Alagoas","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","5244"
"1º trimestre 2015","Alagoas","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Sergipe","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2238"
"1º trimestre 2015","Sergipe","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1007"
"1º trimestre 2015","Sergipe","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1199"
"1º trimestre 2015","Sergipe","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1567"
"1º trimestre 2015","Sergipe","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1302"
"1º trimestre 2015","Sergipe","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2066"
"1º trimestre 2015","Sergipe","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2620"
"1º trimestre 2015","Sergipe","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","6313"
"1º trimestre 2015","Sergipe","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Bahia","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1977"
"1º trimestre 2015","Bahia","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","878"
"1º trimestre 2015","Bahia","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1152"
"1º trimestre 2015","Bahia","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1590"
"1º trimestre 2015","Bahia","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1361"
"1º trimestre 2015","Bahia","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2014"
"1º trimestre 2015","Bahia","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2604"
"1º trimestre 2015","Bahia","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","5582"
"1º trimestre 2015","Bahia","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Minas Gerais","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2663"
"1º trimestre 2015","Minas Gerais","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1188"
"1º trimestre 2015","Minas Gerais","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1758"
"1º trimestre 2015","Minas Gerais","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2036"
"1º trimestre 2015","Minas Gerais","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1874"
"1º trimestre 2015","Minas Gerais","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2373"
"1º trimestre 2015","Minas Gerais","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2647"
"1º trimestre 2015","Minas Gerais","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","6007"
"1º trimestre 2015","Minas Gerais","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Espírito Santo","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2805"
"1º trimestre 2015","Espírito Santo","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1356"
"1º trimestre 2015","Espírito Santo","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1837"
"1º trimestre 2015","Espírito Santo","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2082"
"1º trimestre 2015","Espírito Santo","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1926"
"1º trimestre 2015","Espírito Santo","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2649"
"1º trimestre 2015","Espírito Santo","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3053"
"1º trimestre 2015","Espírito Santo","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","5771"
"1º trimestre 2015","Espírito Santo","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Rio de Janeiro","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3203"
"1º trimestre 2015","Rio de Janeiro","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1884"
"1º trimestre 2015","Rio de Janeiro","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1836"
"1º trimestre 2015","Rio de Janeiro","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2102"
"1º trimestre 2015","Rio de Janeiro","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1874"
"1º trimestre 2015","Rio de Janeiro","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2606"
"1º trimestre 2015","Rio de Janeiro","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3139"
"1º trimestre 2015","Rio de Janeiro","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","7062"
"1º trimestre 2015","Rio de Janeiro","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","São Paulo","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3990"
"1º trimestre 2015","São Paulo","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2139"
"1º trimestre 2015","São Paulo","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2262"
"1º trimestre 2015","São Paulo","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2347"
"1º trimestre 2015","São Paulo","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2154"
"1º trimestre 2015","São Paulo","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2877"
"1º trimestre 2015","São Paulo","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3554"
"1º trimestre 2015","São Paulo","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","8586"
"1º trimestre 2015","São Paulo","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Paraná","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3357"
"1º trimestre 2015","Paraná","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1645"
"1º trimestre 2015","Paraná","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2213"
"1º trimestre 2015","Paraná","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2413"
"1º trimestre 2015","Paraná","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2218"
"1º trimestre 2015","Paraná","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3025"
"1º trimestre 2015","Paraná","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3080"
"1º trimestre 2015","Paraná","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","6752"
"1º trimestre 2015","Paraná","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Santa Catarina","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3324"
"1º trimestre 2015","Santa Catarina","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2400"
"1º trimestre 2015","Santa Catarina","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2498"
"1º trimestre 2015","Santa Catarina","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2620"
"1º trimestre 2015","Santa Catarina","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2492"
"1º trimestre 2015","Santa Catarina","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2954"
"1º trimestre 2015","Santa Catarina","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3094"
"1º trimestre 2015","Santa Catarina","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","6105"
"1º trimestre 2015","Santa Catarina","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Rio Grande do Sul","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3179"
"1º trimestre 2015","Rio Grande do Sul","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1745"
"1º trimestre 2015","Rio Grande do Sul","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2086"
"1º trimestre 2015","Rio Grande do Sul","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2320"
"1º trimestre 2015","Rio Grande do Sul","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2136"
"1º trimestre 2015","Rio Grande do Sul","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2748"
"1º trimestre 2015","Rio Grande do Sul","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3427"
"1º trimestre 2015","Rio Grande do Sul","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","6714"
"1º trimestre 2015","Rio Grande do Sul","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Mato Grosso do Sul","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2878"
"1º trimestre 2015","Mato Grosso do Sul","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1677"
"1º trimestre 2015","Mato Grosso do Sul","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2076"
"1º trimestre 2015","Mato Grosso do Sul","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2094"
"1º trimestre 2015","Mato Grosso do Sul","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2049"
"1º trimestre 2015","Mato Grosso do Sul","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2705"
"1º trimestre 2015","Mato Grosso do Sul","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2753"
"1º trimestre 2015","Mato Grosso do Sul","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","6295"
"1º trimestre 2015","Mato Grosso do Sul","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Mato Grosso","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2986"
"1º trimestre 2015","Mato Grosso","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1676"
"1º trimestre 2015","Mato Grosso","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2277"
"1º trimestre 2015","Mato Grosso","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2375"
"1º trimestre 2015","Mato Grosso","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2120"
"1º trimestre 2015","Mato Grosso","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2861"
"1º trimestre 2015","Mato Grosso","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2797"
"1º trimestre 2015","Mato Grosso","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","5969"
"1º trimestre 2015","Mato Grosso","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2015","Goiás","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2889"
"1º trimestre 2015","Goiás","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1682"
"1º trimestre 2015","Goiás","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2000"
"1º trimestre 2015","Goiás","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2224"
"1º trimestre 2015","Goiás","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2101"
"1º trimestre 2015","Goiás","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2792"
"1º trimestre 2015","Goiás","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2741"
